ticker,year,missing_fields,col_is,col_bs
TSLA,2021,[],2021-12-31 00:00:00,2021-12-31 00:00:00
TSLA,2022,[],2022-12-31 00:00:00,2022-12-31 00:00:00
TSLA,2023,[],2023-12-31 00:00:00,2023-12-31 00:00:00
TSLA,2024,[],2024-12-31 00:00:00,2024-12-31 00:00:00
AAPL,2021,[],2021-09-30 00:00:00,2021-09-30 00:00:00
AAPL,2022,[],2022-09-30 00:00:00,2022-09-30 00:00:00
AAPL,2023,[],2023-09-30 00:00:00,2023-09-30 00:00:00
AAPL,2024,[],2024-09-30 00:00:00,2024-09-30 00:00:00
MSFT,2021,"['balance_sheet.assets', 'balance_sheet.liabilities', 'balance_sheet.equity', 'balance_sheet.cash_and_cash_equivalents']",2022-06-30 00:00:00,2021-06-30 00:00:00
MSFT,2022,[],2022-06-30 00:00:00,2022-06-30 00:00:00
MSFT,2023,[],2023-06-30 00:00:00,2023-06-30 00:00:00
MSFT,2024,[],2024-06-30 00:00:00,2024-06-30 00:00:00
GOOGL,2021,[],2021-12-31 00:00:00,2021-12-31 00:00:00
GOOGL,2022,[],2022-12-31 00:00:00,2022-12-31 00:00:00
GOOGL,2023,[],2023-12-31 00:00:00,2023-12-31 00:00:00
GOOGL,2024,[],2024-12-31 00:00:00,2024-12-31 00:00:00
AMZN,2021,[],2021-12-31 00:00:00,2021-12-31 00:00:00
AMZN,2022,[],2022-12-31 00:00:00,2022-12-31 00:00:00
AMZN,2023,[],2023-12-31 00:00:00,2023-12-31 00:00:00
AMZN,2024,[],2024-12-31 00:00:00,2024-12-31 00:00:00
